Date,USD/Peso mexicanoFIX,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11,Lag12,Lag13,Lag14,Lag15
04/01/2016,17.3529,,,,,,,,,,,,,,,
05/01/2016,17.3456,17.3529,,,,,,,,,,,,,,
06/01/2016,17.4411,17.3456,17.3529,,,,,,,,,,,,,
07/01/2016,17.6568,17.4411,17.3456,17.3529,,,,,,,,,,,,
08/01/2016,17.9283,17.6568,17.4411,17.3456,17.3529,,,,,,,,,,,
11/01/2016,17.9304,17.9283,17.6568,17.4411,17.3456,17.3529,,,,,,,,,,
12/01/2016,17.9119,17.9304,17.9283,17.6568,17.4411,17.3456,17.3529,,,,,,,,,
13/01/2016,17.85,17.9119,17.9304,17.9283,17.6568,17.4411,17.3456,17.3529,,,,,,,,
14/01/2016,17.9121,17.85,17.9119,17.9304,17.9283,17.6568,17.4411,17.3456,17.3529,,,,,,,
15/01/2016,18.2108,17.9121,17.85,17.9119,17.9304,17.9283,17.6568,17.4411,17.3456,17.3529,,,,,,
18/01/2016,18.2327,18.2108,17.9121,17.85,17.9119,17.9304,17.9283,17.6568,17.4411,17.3456,17.3529,,,,,
19/01/2016,18.1947,18.2327,18.2108,17.9121,17.85,17.9119,17.9304,17.9283,17.6568,17.4411,17.3456,17.3529,,,,
20/01/2016,18.608,18.1947,18.2327,18.2108,17.9121,17.85,17.9119,17.9304,17.9283,17.6568,17.4411,17.3456,17.3529,,,
21/01/2016,18.5084,18.608,18.1947,18.2327,18.2108,17.9121,17.85,17.9119,17.9304,17.9283,17.6568,17.4411,17.3456,17.3529,,
22/01/2016,18.428,18.5084,18.608,18.1947,18.2327,18.2108,17.9121,17.85,17.9119,17.9304,17.9283,17.6568,17.4411,17.3456,17.3529,
25/01/2016,18.5352,18.428,18.5084,18.608,18.1947,18.2327,18.2108,17.9121,17.85,17.9119,17.9304,17.9283,17.6568,17.4411,17.3456,17.3529
26/01/2016,18.4715,18.5352,18.428,18.5084,18.608,18.1947,18.2327,18.2108,17.9121,17.85,17.9119,17.9304,17.9283,17.6568,17.4411,17.3456
27/01/2016,18.453,18.4715,18.5352,18.428,18.5084,18.608,18.1947,18.2327,18.2108,17.9121,17.85,17.9119,17.9304,17.9283,17.6568,17.4411
28/01/2016,18.2906,18.453,18.4715,18.5352,18.428,18.5084,18.608,18.1947,18.2327,18.2108,17.9121,17.85,17.9119,17.9304,17.9283,17.6568
29/01/2016,18.1935,18.2906,18.453,18.4715,18.5352,18.428,18.5084,18.608,18.1947,18.2327,18.2108,17.9121,17.85,17.9119,17.9304,17.9283
01/02/2016,18.1935,18.1935,18.2906,18.453,18.4715,18.5352,18.428,18.5084,18.608,18.1947,18.2327,18.2108,17.9121,17.85,17.9119,17.9304
